datetime,windspeed,winddir
2021-08-06,21.6,297.1
2021-08-07,12.6,166.7
2021-08-08,16.8,323.5
2021-08-09,36.8,257.3
2021-08-10,32.1,102.2
2021-08-11,20.7,342.3
2021-08-12,38.0,300.9
2021-08-13,40.0,87.4
2021-08-14,31.7,39.3
2021-08-15,20.5,17.3
2021-08-16,14.3,18.4
2021-08-17,17.4,334.7
2021-08-18,26.7,324.2
2021-08-19,27.3,247.8
2021-08-20,25.1,337.5
2021-08-21,24.2,17.6
2021-08-22,20.1,357.1
2021-08-23,18.2,18.9
2021-08-24,25.0,335.2
2021-08-25,22.8,304.0
2021-08-26,27.3,358.2
2021-08-27,36.7,349.9
2021-08-28,33.5,195.4
2021-08-29,27.6,98.8
2021-08-30,17.8,328.2
2021-08-31,22.7,210.2
2021-09-01,20.9,350.7
2021-09-02,25.2,7.7
2021-09-03,23.7,341.9
2021-09-04,20.5,157.6
2021-09-05,21.8,336.9
2021-09-06,31.4,344.6
2021-09-07,26.6,62.6
2021-09-08,22.2,73.7
2021-09-09,20.5,41.8
2021-09-10,19.6,30.5
2021-09-11,19.5,32.4
2021-09-12,16.9,311.2
2021-09-13,16.7,332.9
2021-09-14,24.0,315.7
2021-09-15,33.1,297.5
2021-09-16,40.0,256.0
2021-09-17,30.8,105.7
2021-09-18,25.8,46.1
2021-09-19,24.1,356.9
2021-09-20,35.1,295.9
2021-09-21,29.3,124.2
2021-09-22,27.8,44.7
2021-09-23,23.3,3.2
2021-09-24,15.6,285.2
2021-09-25,12.5,357.3
2021-09-26,19.6,64.8
2021-09-27,23.9,10.5
2021-09-28,31.0,139.2
2021-09-29,33.9,37.9
2021-09-30,35.7,18.3
2021-10-01,29.5,47.6
2021-10-02,24.7,274.2
2021-10-03,25.2,260.1
2021-10-04,20.3,18.5
2021-10-05,20.1,358.6
2021-10-06,21.6,24.3
2021-10-07,35.5,23.9
2021-10-08,33.5,356.8
2021-10-09,26.1,230.7
2021-10-10,27.2,95.0
2021-10-11,21.4,34.8
2021-10-12,17.6,315.8
2021-10-13,12.2,358.1
2021-10-14,21.5,332.0
2021-10-15,23.1,338.8
2021-10-16,38.1,300.8
2021-10-17,26.1,193.6
2021-10-18,25.5,87.4
2021-10-19,23.4,12.6
2021-10-20,18.4,9.8
2021-10-21,18.1,348.1
2021-10-22,30.2,308.5
2021-10-23,34.1,278.5
2021-10-24,35.3,127.3
2021-10-25,33.3,36.9
2021-10-26,20.6,47.3
2021-10-27,22.3,42.2
2021-10-28,18.5,11.1
2021-10-29,37.7,328.3
2021-10-30,25.9,237.1
2021-10-31,19.2,49.9
2021-11-01,29.4,293.5
2021-11-02,23.7,242.5
2021-11-03,31.1,255.5
2021-11-04,24.2,23.8
2021-11-05,33.6,325.8
2021-11-06,31.7,321.8
2021-11-07,35.1,13.6
2021-11-08,28.7,14.6
2021-11-09,18.7,175.7
2021-11-10,20.0,17.9
2021-11-11,17.4,330.0
2021-11-12,29.4,319.6
2021-11-13,26.6,297.4
2021-11-14,22.8,322.3
2021-11-15,26.0,349.9
2021-11-16,24.0,309.7
2021-11-17,47.5,333.1
2021-11-18,33.3,328.2
2021-11-19,25.3,12.8
2021-11-20,28.4,10.9
2021-11-21,31.9,12.8
2021-11-22,25.8,358.6
2021-11-23,30.8,246.7
2021-11-24,20.4,277.6
2021-11-25,29.5,44.1
2021-11-26,34.0,45.6
2021-11-27,28.0,34.3
2021-11-28,31.7,318.0
2021-11-29,24.6,310.5
2021-11-30,39.7,336.6
2021-12-01,36.7,354.8
2021-12-02,20.3,120.6
2021-12-03,22.2,345.4
2021-12-04,30.8,69.3
2021-12-05,25.9,41.6
2021-12-06,20.6,326.9
2021-12-07,29.1,338.1
2021-12-08,20.4,26.9
2021-12-09,20.0,351.1
2021-12-10,16.5,346.2
2021-12-11,38.9,110.5
2021-12-12,15.4,345.2
2021-12-13,20.2,50.6
2021-12-14,22.4,329.0
2021-12-15,23.4,355.7
2021-12-16,25.1,18.6
2021-12-17,35.3,95.8
2021-12-18,24.5,43.8
2021-12-19,18.3,344.5
2021-12-20,17.5,336.7
2021-12-21,15.1,331.0
2021-12-22,24.0,307.0
2021-12-23,27.5,313.4
2021-12-24,25.8,292.6
2021-12-25,31.9,26.2
2021-12-26,27.7,20.4
2021-12-27,20.4,345.2
2021-12-28,22.1,263.9
2021-12-29,22.4,282.1
2021-12-30,27.8,339.7
2021-12-31,31.5,328.8
2022-01-01,25.6,322.7
2022-01-02,28.2,332.0
2022-01-03,27.4,335.3
2022-01-04,24.4,336.7
2022-01-05,26.6,306.6
2022-01-06,25.1,91.1
2022-01-07,32.3,20.5
2022-01-08,16.5,30.5
2022-01-09,20.3,25.0
2022-01-10,16.6,2.4
2022-01-11,19.5,292.7
2022-01-12,34.6,71.2
2022-01-13,22.3,20.1
2022-01-14,15.8,57.7
2022-01-15,17.6,32.6
2022-01-16,19.0,344.8
2022-01-17,15.9,4.8
2022-01-18,16.4,355.8
2022-01-19,28.5,142.9
2022-01-20,15.0,111.4
2022-01-21,26.3,102.9
2022-01-22,24.6,93.6
2022-01-23,24.1,92.2
2022-01-24,17.4,151.2
2022-01-25,18.0,68.4
2022-01-26,23.8,75.5
2022-01-27,18.5,70.4
2022-01-28,33.3,57.7
2022-01-29,28.7,85.9
2022-01-30,18.7,70.5
2022-01-31,18.8,34.6
2022-02-01,17.4,32.8
2022-02-02,13.6,354.2
2022-02-03,24.1,272.7
2022-02-04,38.2,85.3
2022-02-05,22.1,108.0
2022-02-06,24.3,96.8
2022-02-07,20.6,101.3
2022-02-08,20.8,119.3
2022-02-09,15.0,322.2
2022-02-10,25.3,51.9
2022-02-11,15.1,57.0
2022-02-12,16.5,24.3
2022-02-13,12.4,349.4
2022-02-14,20.5,84.7
2022-02-15,19.6,68.8
2022-02-16,12.9,218.8
2022-02-17,21.1,42.6
2022-02-18,18.0,360.0
2022-02-19,15.2,344.8
2022-02-20,13.9,236.3
2022-02-21,19.0,199.7
2022-02-22,16.5,7.3
2022-02-23,12.8,122.8
2022-02-24,16.7,181.0
2022-02-25,30.4,119.7
2022-02-26,16.7,281.6
2022-02-27,17.0,56.1
2022-02-28,27.3,310.3
2022-03-01,17.8,268.7
2022-03-02,20.2,38.4
2022-03-03,16.4,338.1
2022-03-04,16.7,314.4
2022-03-05,19.7,118.6
2022-03-06,18.2,57.7
2022-03-07,14.8,16.9
2022-03-08,19.9,198.3
2022-03-09,16.2,174.5
2022-03-10,14.8,154.4
2022-03-11,20.1,94.6
2022-03-12,12.9,29.0
2022-03-13,13.9,331.3
2022-03-14,22.1,339.7
2022-03-15,20.8,109.7
2022-03-16,22.0,89.2
2022-03-17,21.8,77.4
2022-03-18,17.7,81.0
2022-03-19,15.7,87.2
2022-03-20,12.2,44.4
2022-03-21,14.0,106.7
2022-03-22,10.6,356.2
2022-03-23,19.3,1.8
2022-03-24,25.5,291.0
2022-03-25,22.0,341.3
2022-03-26,20.4,333.1
2022-03-27,14.2,267.6
2022-03-28,23.5,14.3
2022-03-29,17.3,347.9
2022-03-30,17.6,336.2
2022-03-31,14.0,307.2
2022-04-01,18.9,288.8
2022-04-02,20.1,170.6
2022-04-03,19.7,107.7
2022-04-04,13.1,33.8
2022-04-05,20.8,313.4
2022-04-06,26.7,275.1
2022-04-07,17.2,218.9
2022-04-08,22.4,58.6
2022-04-09,20.8,59.4
2022-04-10,18.4,62.3
2022-04-11,16.6,291.3
2022-04-12,24.1,292.7
2022-04-13,20.7,241.7
2022-04-14,19.5,296.4
2022-04-15,22.5,315.4
2022-04-16,21.1,105.9
2022-04-17,17.3,94.8
2022-04-18,25.5,157.5
2022-04-19,28.8,110.9
2022-04-20,22.9,84.1
2022-04-21,11.8,300.3
2022-04-22,14.6,279.2
2022-04-23,19.4,316.6
2022-04-24,15.2,352.8
2022-04-25,28.3,204.7
2022-04-26,15.0,212.5
2022-04-27,18.0,85.9
2022-04-28,19.9,329.1
2022-04-29,22.1,289.8
2022-04-30,21.3,232.9
2022-05-01,9.9,150.4
2022-05-02,9.9,332.3
2022-05-03,11.7,279.8
2022-05-04,10.3,172.5
2022-05-05,12.1,172.7
2022-05-06,16.3,315.4
2022-05-07,18.1,323.1
2022-05-08,24.7,148.3
2022-05-09,11.5,261.1
2022-05-10,15.9,299.3
2022-05-11,14.9,307.0
2022-05-12,16.1,312.2
2022-05-13,17.3,314.2
2022-05-14,16.7,322.0
2022-05-15,21.4,117.7
2022-05-16,16.3,84.9
2022-05-17,11.4,143.7
2022-05-18,13.0,338.6
2022-05-19,17.0,320.1
2022-05-20,26.1,352.9
2022-05-21,29.1,47.2
2022-05-22,14.6,218.5
2022-05-23,21.9,181.5
2022-05-24,12.0,226.5
2022-05-25,15.3,327.2
2022-05-26,14.8,223.5
2022-05-27,16.4,336.0
2022-05-28,18.2,333.3
2022-05-29,21.2,291.3
2022-05-30,17.2,185.5
2022-05-31,25.0,210.1
2022-06-01,12.0,197.3
2022-06-02,10.5,353.7
2022-06-03,9.5,354.7
2022-06-04,11.5,196.5
2022-06-05,26.1,99.3
2022-06-06,15.8,128.3
2022-06-07,9.9,107.3
2022-06-08,13.4,72.1
2022-06-09,13.5,176.2
2022-06-10,19.0,99.3
2022-06-11,10.1,356.2
2022-06-12,11.0,304.4
2022-06-13,15.0,334.0
2022-06-14,25.8,304.8
2022-06-15,23.4,195.5
2022-06-16,11.1,261.6
2022-06-17,16.1,336.1
2022-06-18,15.5,322.8
2022-06-19,18.6,347.2
2022-06-20,22.3,48.5
2022-06-21,31.4,45.2
2022-06-22,35.7,42.6
2022-06-23,18.8,9.4
2022-06-24,23.4,213.0
2022-06-25,24.1,120.8
2022-06-26,29.0,113.9
2022-06-27,28.2,102.6
2022-06-28,22.9,88.0
2022-06-29,11.5,127.2
2022-06-30,18.7,48.2
2022-07-01,12.2,318.8
2022-07-02,14.8,327.9
2022-07-03,15.0,265.5
2022-07-04,9.0,7.5
2022-07-05,13.0,329.1
2022-07-06,15.8,287.8
2022-07-07,18.7,313.5
2022-07-08,9.9,345.2
2022-07-09,17.2,6.1
2022-07-10,21.3,324.8
2022-07-11,16.9,225.9
2022-07-12,15.6,290.8
2022-07-13,16.4,296.2
2022-07-14,24.0,180.3
2022-07-15,15.9,50.9
2022-07-16,10.1,76.8
2022-07-17,7.1,312.8
2022-07-18,10.4,333.2
2022-07-19,20.5,311.3
2022-07-20,10.7,144.1
2022-07-21,13.9,129.2
2022-07-22,16.4,12.6
2022-07-23,23.5,320.5
2022-07-24,22.3,229.8
2022-07-25,18.2,328.5
2022-07-26,14.3,331.3
2022-07-27,20.7,252.0
2022-07-28,17.8,44.3
2022-07-29,17.2,15.6
2022-07-30,18.9,350.9
2022-07-31,17.7,293.7
2022-08-01,25.2,38.1
2022-08-02,29.3,40.8
2022-08-03,13.4,37.4
2022-08-04,20.6,316.6
2022-08-05,19.3,277.0
2022-08-06,22.8,303.9
2022-08-07,22.8,339.8
2022-08-08,30.0,230.5
2022-08-09,22.9,109.2
2022-08-10,15.8,321.6
2022-08-11,14.0,340.3
2022-08-12,17.6,311.8
2022-08-13,30.0,318.1
